well_API14,operator,ENVBasin,Formation,prob_exceeds_breakeven,expected_profit_USD,pred_central_p50,band_low_calibrated,band_high_calibrated,actual_boe,is_labelled,rank_by_probability,recommended_top10pct
17017347900000,QEP Energy Company,ARK-LA-TX,HAYNESVILLE SHALE,0.03,553546.0,23839.0,-78.0,64540.0,-0.0,True,7238,False
17017348050000,Aethon Energy Operating LLC,ARK-LA-TX,HAYNESVILLE SHALE,0.03,553181.0,23830.0,-77.0,63482.0,-0.0,True,7239,False
17017348160000,QEP Energy Company,ARK-LA-TX,HAYNESVILLE,0.03,539493.0,23487.0,-78.0,66550.0,-0.0,True,7240,False
17017348450000,Aethon Energy Operating LLC,ARK-LA-TX,HAYNESVILLE SHALE,0.03,553689.0,23842.0,-77.0,65245.0,-0.0,True,7241,False
17031245500000,Indigo Minerals,ARK-LA-TX,HAYNESVILLE,0.03,448672.0,21217.0,-77.0,71197.0,-0.0,True,7242,False
17031246850000,Aethon Energy Operating LLC,ARK-LA-TX,HAYNESVILLE,0.03,-399399.0,15.0,-1051.0,15935.0,-0.0,True,7243,False
17031251770000,Indigo Minerals,ARK-LA-TX,HAYNESVILLE SHALE,0.03,467758.0,21694.0,-77.0,62599.0,-0.0,True,7244,False
17031253420000,"Chesapeake Operating, Inc.",ARK-LA-TX,HAYNESVILLE SHALE,0.03,864168.0,31604.0,-77.0,58068.0,-0.0,True,7245,False
17031263390000,Indigo Minerals,ARK-LA-TX,HAYNESVILLE,0.03,1082465.0,37062.0,15.0,111815.0,,False,7246,False
17031264960000,Indigo Minerals,ARK-LA-TX,HAYNESVILLE,0.03,1260071.0,41502.0,420.0,111671.0,,False,7247,False
17031265400000,Indigo Minerals,ARK-LA-TX,HAYNESVILLE,0.03,1118851.0,37971.0,421.0,112640.0,,False,7248,False
17081213100000,Shell Oil Company affiliate,ARK-LA-TX,HAYNESVILLE,0.03,518078.0,22952.0,-77.0,38349.0,-0.0,True,7249,False
17081213500000,Shell Oil Company affiliate,ARK-LA-TX,HAYNESVILLE,0.03,785053.0,29626.0,-77.0,71660.0,-0.0,True,7250,False
17081214910000,Vine Oil & Gas LP,ARK-LA-TX,HAYNESVILLE,0.03,901320.0,32533.0,868.0,102839.0,,False,7251,False
17085223840000,"Chesapeake Operating, Inc.",ARK-LA-TX,HAYNESVILLE,0.03,443752.0,21094.0,-77.0,65631.0,-0.0,True,7252,False
17085223880000,"Chesapeake Operating, Inc.",ARK-LA-TX,HAYNESVILLE,0.03,697881.0,27447.0,-77.0,69819.0,-0.0,True,7253,False
17085223910000,"Chesapeake Operating, Inc.",ARK-LA-TX,HAYNESVILLE SHALE,0.03,795960.0,29899.0,-77.0,59001.0,-0.0,True,7254,False
30039067810000,Hilcorp Energy Company,SAN JUAN,MESAVERDE | GALLUP | DAKOTA,0.03,-398555.0,36.0,-152.0,4578.0,99.0,True,7255,False
30039203830000,Hilcorp Energy Company,SAN JUAN,DAKOTA | MESAVERDE | GALLUP,0.03,-393288.0,168.0,-172.0,5299.0,194.0,True,7256,False
30039210680000,Chevron USA Inc.,SAN JUAN,GALLUP | DAKOTA,0.03,-342751.0,1431.0,1.0,6476.0,409.0,True,7257,False
30045118200000,Hilcorp Energy Company,SAN JUAN,MESAVERDE | DAKOTA,0.03,-367337.0,817.0,-48.0,7150.0,267.0,True,7258,False
30045229000000,Hilcorp Energy Company,SAN JUAN,MESAVERDE,0.03,-364136.0,897.0,-1231.0,2467.0,,False,7259,False
42005304260000,BP America Production Company,ARK-LA-TX,HAYNESVILLE SHALE,0.03,1035856.0,35896.0,25.0,98721.0,,False,7260,False
42005304520000,BPX Operating Company,ARK-LA-TX,HAYNESVILLE SHALE,0.03,1035293.0,35882.0,678.0,96800.0,,False,7261,False
42179300010000,Scout Energy Partners,MID-CONTINENT OTHER,GRANITE WASH E-2 ZONE,0.03,-368751.0,781.0,-346.0,15054.0,,False,7262,False
42203355950000,Sabine Oil & Gas Corporation,ARK-LA-TX,HAYNESVILLE SHALE,0.03,850645.0,31266.0,392.0,103247.0,,False,7263,False
42237398180000,Brigadier Operating LLC,FORT WORTH,BARNETT SHALE,0.03,-325362.0,1866.0,-129.0,12093.0,2033.0,True,7264,False
42237402570000,Brigadier Operating LLC,FORT WORTH,ELLENBURGER,0.03,-397659.0,59.0,-872.0,7018.0,,False,7265,False
42331346530000,"Omni Oil & Gas, Inc.",WESTERN GULF,NAVARRO,0.03,-325476.0,1863.0,-8378.0,23993.0,,False,7266,False
42331347350000,"Omni Oil & Gas, Inc.",WESTERN GULF,NAVARRO,0.03,-326354.0,1841.0,-8508.0,22976.0,,False,7267,False
42331347560000,"Omni Oil & Gas, Inc.",WESTERN GULF,NAVARRO,0.03,-326354.0,1841.0,-8508.0,22976.0,,False,7268,False
42347333590000,BP America Production Company,ARK-LA-TX,HAYNESVILLE SHALE,0.03,1072393.0,36810.0,236.0,117099.0,,False,7269,False
42405305850000,BP America Production Company,ARK-LA-TX,HAYNESVILLE SHALE,0.03,760663.0,29017.0,188.0,87750.0,,False,7270,False
42405306750000,XTO Energy/ExxonMobil,ARK-LA-TX,HAYNESVILLE SHALE,0.03,1055227.0,36381.0,130.0,117809.0,,False,7271,False
42415005580000,Unitex Oil Company,PERMIAN OTHER,SAN ANDRES,0.03,-363724.0,907.0,-226.0,8518.0,858.0,True,7272,False
42415323600000,Unitex Oil Company,PERMIAN OTHER,SAN ANDRES,0.03,-347147.0,1321.0,-581.0,7776.0,2079.0,True,7273,False
42451323020000,"Independence Resources Management, LLC.",MIDLAND,CANYON MARKER,0.03,-363699.0,908.0,-438.0,7095.0,900.0,True,7274,False
42461380470000,"Parsley Energy Operations, LLC",MIDLAND,PENNSYLVANIAN,0.03,-574477.0,-4362.0,-10954.0,11104.0,-10235.0,True,7275,False
42475346740000,Occidental Oil and Gas,PERMIAN OTHER,"CLEARFORK,DEVONIAN",0.03,-339046.0,1524.0,-593.0,13277.0,3907.0,True,7276,False
